
Path                                                                                                            LineNum
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                   909
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                   924
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                   975
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1006
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1019
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1102
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1115
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1138
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1153
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1168
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1181
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1204
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1219
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1239
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1259
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1290
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1303
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1335
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1376
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1403
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1416
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1439
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1454
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1483
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1496
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1510
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\events.service.ts                  1525
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\registration.service.ts              17
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\registration.service.ts              25
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\registration.service.ts              33
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\registration.service.ts              58
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\registration.service.ts              66
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\registration.service.ts              86
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\events\registration.service.ts              99
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\files\files.service.ts                      45
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\files\files.service.ts                      70
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\files\files.service.ts                     270
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\files\files.service.ts                     353
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\files\files.service.ts                     378
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\finances\finances.service.ts               102
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\finances\finances.service.ts               212
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\finances\finances.service.ts               238
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\finances\finances.service.ts               336
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\finances\finances.service.ts               349
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\finances\finances.service.ts               366
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts          38
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts         122
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts         217
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts         246
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts         258
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts         272
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts         329
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts         393
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts         424
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts         450
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts         459
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts         482
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts         538
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts         578
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts         613
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts         659
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts         680
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts         712
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts         736
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts         776
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts         789
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\invitations\invitations.service.ts         818
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\memberships\memberships.service.ts          30
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\memberships\memberships.service.ts          46
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\memberships\memberships.service.ts          76
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\memberships\memberships.service.ts         116
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\memberships\memberships.service.ts         154
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\memberships\memberships.service.ts         215
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\memberships\memberships.service.ts         229
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\memberships\memberships.service.ts         343
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\memberships\memberships.service.ts         386
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\memberships\memberships.service.ts         461
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\memberships\memberships.service.ts         504
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\memberships\memberships.service.ts         561
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\memberships\memberships.service.ts         639
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\memberships\memberships.service.ts         647
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\memberships\memberships.service.ts         663
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\memberships\memberships.service.ts         674
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\memberships\memberships.service.ts         720
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\memberships\memberships.service.ts         732
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\memberships\memberships.service.ts         746
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\memberships\memberships.service.ts         793
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\notifications\notifications.service.ts      34
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\notifications\notifications.service.ts      59
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\notifications\notifications.service.ts     276
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\notifications\notifications.service.ts     294
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\notifications\notifications.service.ts     317
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\notifications\notifications.service.ts     320
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\notifications\notifications.service.ts     361
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\notifications\reminders.service.ts          34
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\notifications\reminders.service.ts          78
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\notifications\reminders.service.ts         112
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\notifications\reminders.service.ts         146
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\notifications\reminders.service.ts         161
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\notifications\reminders.service.ts         175
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\notifications\reminders.service.ts         182
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\notifications\reminders.service.ts         196
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\notifications\reminders.service.ts         233
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\users\users.service.ts                      17
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\users\users.service.ts                      39
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\users\users.service.ts                      63
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\users\users.service.ts                      71
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\users\users.service.ts                      83
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\users\users.service.ts                     109
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\users\users.service.ts                     117
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\users\users.service.ts                     137
C:\Users\matre\OneDrive\Documenti\GitHub\privat-non-publico\apps\api\src\users\users.service.ts                     145


